product_name,code_country,pnns_groups_1,pnns_groups_2,nutrition-score-uk_100g,nutrition-score-fr_100g,sodium_100g,salt_100g,proteins_100g,energy_100g,saturated-fat_100g,sugars_100g,fat_100g,carbohydrates_100g
Compote de pommes allégée en sucres,NLD,Fruits and vegetables,Fruits,-4.0,-4.0,0.04,0.1016,0.3,256.0,0.1,13.7,0.1,13.7
Sardines à l'huile de tournesol (Lot de 3 boîtes 1/4) ,MAR,Fish Meat Eggs,Fish and seafood,3.0,3.0,0.3,0.762,25.0,976.0,4.0,0.0,15.0,0.0
Bœuf bourguignon et ses pommes de terre,FRA,Composite foods,One-dish meals,-1.0,-1.0,0.42,1.0668,6.2,312.0,0.62,2.6,1.3,8.6
Colin d'Alaska sauce citron et riz safrané,FRA,Composite foods,One-dish meals,0.0,0.0,0.31,0.7874,7.1,507.0,1.3,1.1,4.6,12.3
Cordons bleu de volaille (x 2),FRA,Composite foods,One-dish meals,4.0,4.0,0.5118110236220471,1.3,11.0,902.0,2.5,4.5,12.0,15.0
Boisson aux fruits Saveur Pêche Abricot,FRA,Beverages,Sweetened beverages,1.0,12.0,0.00393700787401575,0.01,0.5,158.0,0.0,9.0,0.5,9.0
Boisson aux fruits Saveur Pomme Cassis Framboise,FRA,Beverages,Sweetened beverages,1.0,12.0,0.0,0.0,0.0,157.0,0.0,9.0,0.0,9.0
Pâté de foie Qualité Supérieure,FRA,Fish Meat Eggs,Processed meat,21.0,21.0,0.62992125984252,1.6,9.4,1757.0,17.0,2.2,42.0,2.5
Blanc de poulet cuit au bouillon x 4,FRA,Fish Meat Eggs,Processed meat,3.0,3.0,0.708661417322835,1.8,21.5,414.0,0.24,1.3,0.7,1.7
Cake Jambon Olives,FRA,Salty snacks,Appetizers,9.0,9.0,0.551181102362205,1.4,13.8,1276.0,4.4,2.5,21.7,12.6
Gouda jeune (30 % MG) en tranches,FRA,Milk and dairy products,Cheese,22.0,17.0,0.8,2.032,23.0,1501.0,21.0,0.0,30.0,0.0
Coeurs caramel,CHE,Sugary snacks,Biscuits and cakes,22.0,22.0,0.1,0.254,6.0,2117.0,16.0,36.0,26.0,61.0
Steak hachés pur boeuf 15% MG,FRA,Fish Meat Eggs,Meat,4.0,4.0,0.1,0.254,19.0,878.0,6.2,0.0,15.0,0.0
Pains au lait (x 10) 350 g ,FRA,Sugary snacks,Pastries,13.0,13.0,0.319,0.8102600000000001,8.1,1536.0,7.4,13.2,13.2,52.5
Champignons de paris,FRA,Fruits and vegetables,Vegetables,0.0,0.0,0.275590551181102,0.7,2.2,79.0,0.0,0.5,0.0,0.6
Camembert (21 % MG),FRA,Milk and dairy products,Cheese,19.0,14.0,0.6,1.524,20.0,1119.0,15.0,0.0,21.0,0.0
Coulommiers (23 % MG) ,FRA,Milk and dairy products,Cheese,18.0,13.0,0.5,1.27,19.1,1177.0,14.8,0.1,23.0,0.1
Fromage double crème (31 % MG) ,FRA,Milk and dairy products,Cheese,21.0,16.0,0.65,1.651,19.0,1471.0,21.0,0.1,31.0,0.1
